         translation_key          |                                 en                                  |                                               de                                               |                                         tr                                         
 common.error                     | Error                                                               | Fehler                                                                                         | Hata
 common.filter                    | Filter                                                              | Filter                                                                                         | Filtrele
 common.info                      | Info                                                                | Info                                                                                           | Bilgi
 common.loading                   | Loading...                                                          | Lädt...                                                                                        | Yükleniyor...
 common.no                        | No                                                                  | Nein                                                                                           | Hayır
 common.save                      | Save                                                                | Speichern                                                                                      | Kaydet
 common.search                    | Search                                                              | Suchen                                                                                         | Ara
 common.success                   | Success                                                             | Erfolg                                                                                         | Başarılı
 common.warning                   | Warning                                                             | Warnung                                                                                        | Uyarı
 common.yes                       | Yes                                                                 | Ja                                                                                             | Evet
 contracts.addContract            | Add Contract                                                        | Vertrag hinzufügen                                                                             | Sözleşme Ekle
 contracts.contractName           | Contract Name                                                       | Vertragsname                                                                                   | Sözleşme Adı
 contracts.contractValue          | Contract Value                                                      | Vertragswert                                                                                   | Sözleşme Değeri
 contracts.deleteContract         | Delete Contract                                                     | Vertrag löschen                                                                                | Sözleşme Sil
 contracts.editContract           | Edit Contract                                                       | Vertrag bearbeiten                                                                             | Sözleşme Düzenle
 contracts.endDate                | End Date                                                            | Enddatum                                                                                       | Bitiş Tarihi
 contracts.startDate              | Start Date                                                          | Startdatum                                                                                     | Başlangıç Tarihi
 contracts.title                  | Contracts                                                           | Verträge                                                                                       | Sözleşmeler
 dashboard.expenseEntries         | Expense Entries                                                     | Ausgabeneinträge                                                                               | Gider Girişleri
 dashboard.incomeEntries          | Income Entries                                                      | Einkommenseinträge                                                                             | Gelir Girişleri
 dashboard.quickStats             | Quick Stats                                                         | Schnelle Statistiken                                                                           | Hızlı İstatistikler
 dashboard.recentIncome           | Recent Income                                                       | Letzte Einkommen                                                                               | Son Gelir
 dashboard.title                  | Dashboard                                                           | Dashboard                                                                                      | Kontrol Panelim
 dashboard.totalAssets            | Total Assets                                                        | Gesamtvermögen                                                                                 | Toplam Varlık
 dashboard.upcomingRenewals       | Upcoming Renewals                                                   | Bevorstehende Verlängerungen                                                                   | Yaklaşan Yenilemeler
 households.addHousehold          | Add Household                                                       | Haushalt hinzufügen                                                                            | Hane Ekle
 households.deleteHousehold       | Delete Household                                                    | Haushalt löschen                                                                               | Hane Sil
 households.editHousehold         | Edit Household                                                      | Haushalt bearbeiten                                                                            | Hane Düzenle
 households.householdName         | Household Name                                                      | Haushaltsname                                                                                  | Hane Adı
 households.memberCount           | Member Count                                                        | Mitgliederanzahl                                                                               | Üye Sayısı
 households.title                 | Households                                                          | Haushalte                                                                                      | Hane
 navigation.admin                 | Admin                                                               | Admin                                                                                          | Yönetici
 navigation.assets                | Assets                                                              | Vermögen                                                                                       | Varlıklar
 navigation.contracts             | Contracts                                                           | Verträge                                                                                       | Sözleşmeler
 navigation.dashboard             | Dashboard                                                           | Dashboard                                                                                      | Kontrol Panelim
 navigation.households            | Households                                                          | Haushalte                                                                                      | Hane
 navigation.settings              | Settings                                                            | Einstellungen                                                                                  | Ayarlar
 navigation.users                 | Users                                                               | Benutzer                                                                                       | Kullanıcılar
 notifications.markAllAsRead      | Mark All as Read                                                    | Alle als gelesen markieren                                                                     | Tümünü Okundu Olarak İşaretle
 notifications.markAsRead         | Mark as Read                                                        | Als gelesen markieren                                                                          | Okundu Olarak İşaretle
 notifications.noNotifications    | No notifications                                                    | Keine Benachrichtigungen                                                                       | Bildirim yok
 notifications.title              | Notifications                                                       | Benachrichtigungen                                                                             | Bildirimler
 notifications.viewAll            | View All                                                            | Alle anzeigen                                                                                  | Tümünü Görüntüle
 settings.currency                | Currency                                                            | Währung                                                                                        | Para Birimi
 settings.darkMode                | Dark Mode                                                           | Dunkler Modus                                                                                  | Karanlık Mod
 settings.language                | Language                                                            | Sprache                                                                                        | Dil
 settings.lightMode               | Light Mode                                                          | Heller Modus                                                                                   | Açık Mod
 settings.preferences             | Preferences                                                         | Einstellungen                                                                                  | Tercihler
 settings.profile                 | Profile                                                             | Profil                                                                                         | Profil
 settings.theme                   | Theme                                                               | Design                                                                                         | Tema
 settings.title                   | Settings                                                            | Einstellungen                                                                                  | Ayarlar
 translations.allCategories       | All Categories                                                      | Alle Kategorien                                                                                | Tüm Kategoriler
 translations.category            | Category                                                            | Kategorie                                                                                      | Kategori
 translations.english             | English (Default)                                                   | Englisch (Standard)                                                                            | İngilizce (Varsayılan)
 translations.german              | German                                                              | Deutsch                                                                                        | Almanca
 translations.instruction1        | English translations are shown as reference and cannot be edited    | Englische Übersetzungen werden als Referenz angezeigt und können nicht bearbeitet werden       | İngilizce çeviriler referans olarak gösterilir ve düzenlenemez
 translations.instruction2        | German and Turkish translations can be edited directly in the table | Deutsche und türkische Übersetzungen können direkt in der Tabelle bearbeitet werden            | Almanca ve Türkçe çeviriler tabloda doğrudan düzenlenebilir
 translations.instruction3        | Changed translations are highlighted in yellow                      | Geänderte Übersetzungen werden gelb hervorgehoben                                              | Değiştirilen çeviriler sarı renkte vurgulanır
 translations.instruction4        | Click "Save All Changes" to update all modified translations        | Klicken Sie auf "Alle Änderungen speichern", um alle geänderten Übersetzungen zu aktualisieren | Değiştirilen tüm çevirileri güncellemek için "Tüm Değişiklikleri Kaydet"e tıklayın
 translations.instruction5        | Changes are applied immediately and will be visible to all users    | Änderungen werden sofort angewendet und sind für alle Benutzer sichtbar                        | Değişiklikler hemen uygulanır ve tüm kullanıcılar tarafından görülebilir
 translations.instructions        | Instructions                                                        | Anweisungen                                                                                    | Talimatlar
 translations.key                 | Key                                                                 | Schlüssel                                                                                      | Anahtar
 translations.manageTranslations  | Manage translations for English, German, and Turkish                | Übersetzungen für Englisch, Deutsch und Türkisch verwalten                                     | İngilizce, Almanca ve Türkçe çevirileri yönetin
 translations.noTranslationsFound | No translations found                                               | Keine Übersetzungen gefunden                                                                   | Çeviri bulunamadı
 translations.resetChanges        | Reset Changes                                                       | Änderungen zurücksetzen                                                                        | Değişiklikleri Sıfırla
 translations.saveAllChanges      | Save All Changes                                                    | Alle Änderungen speichern                                                                      | Tüm Değişiklikleri Kaydet
 translations.searchTranslations  | Search translations...                                              | Übersetzungen suchen...                                                                        | Çevirileri ara...
 translations.title               | Translation Management                                              | Übersetzungsverwaltung                                                                         | Çeviri Yönetimi
 translations.translationsFound   | translations found                                                  | Übersetzungen gefunden                                                                         | çeviri bulundu
 translations.turkish             | Turkish                                                             | Türkisch                                                                                       | Türkçe
 user.admin                       | Admin                                                               | Administrator                                                                                  | Yönetici
 user.member                      | Member                                                              | Mitglied                                                                                       | Üye
(115 rows)

